SKU#,Product  Name,stock_qty,Unit Cost ($),Last Restock,Supplier,Category Type
SKU-3000,Monitor,261,32.30900302329,2023-11-11,,Accessories
SKU-3001,Mouse,431,194.71833117751393,23-09-2023,MegaStore,Accessories
SKU-3002,Chair,406,1994.9345575090506,2023/10/15,,Electronics
SKU-3003,Monitor,411,1763.1557275063572,2023/11/08,GlobalTech,Accessories
SKU-3004,Mouse,124,1402.7151131444941,2023-10-28,GlobalTech,Accessories
SKU-3005,Keyboard,375,1195.107567789151,04-08-2023,OfficeSupply Inc,
SKU-3006,Monitor,43,1893.1068424782395,05-12-2023,GlobalTech,Electronics
SKU-3007,Mouse,13930,399.4540451996029,08/04/2023,TechCorp,Accessories
SKU-3008,Laptop,266,1170.1888689891994,2023/11/24,,
SKU-3009,Desk,6,32.92113306832887,08/22/2023,OfficeSupply Inc,Accessories
SKU-3010,Mouse,387,1503.090251566153,20-08-2023,GlobalTech,Electronics
SKU-3011,Monitor,436,1645.0273062424685,2023/09/20,TechCorp,Furniture
SKU-3012,Laptop,57,570.7352010079069,2023/11/10,TechCorp,Electronics
SKU-3013,Monitor,410,1036.4032898247665,09/23/2023,GlobalTech,
SKU-3014,Laptop,490,1712.729354152505,11/09/2023,TechCorp,Accessories
SKU-3015,Laptop,341,825.2058464476448,14-10-2023,GlobalTech,Accessories
SKU-3016,Monitor,317,153.68110257774342,2023/09/25,TechCorp,
SKU-3017,Chair,194,1204.3916336100644,2023/09/14,TechCorp,Furniture
SKU-3018,Chair,56,1702.978074746282,26-10-2023,MegaStore,Electronics
SKU-3019,Desk,142,1157.703703906499,12/31/2023,,Electronics
SKU-3020,Keyboard,5,11469.196078108303,2023-12-26,GlobalTech,Furniture
SKU-3021,Headphones,154,1897.4776307288398,08/21/2023,MegaStore,
SKU-3022,Monitor,204,1470.7845319558487,12/16/2023,,
SKU-3023,Desk,147,1207.8020930701218,2023/10/22,MegaStore,Accessories
SKU-3024,Keyboard,373,1714.2223356144964,,TechCorp,Electronics
SKU-3025,Headphones,317,1601.0949721345737,07/05/2023,,Accessories
SKU-3026,Mouse,54,567.5475688182688,2023-10-01,GlobalTech,Electronics
SKU-3027,Monitor,365,75.97294488258837,2023-07-29,GlobalTech,
SKU-3028,Desk,212,389.80812727682036,05-08-2023,GlobalTech,Furniture
SKU-3029,Monitor,147,449.82075995332826,2023-12-10,MegaStore,
SKU-3030,Monitor,491,1917.789330993396,,MegaStore,Accessories
SKU-3031,Laptop,121,147.3431871457723,12-11-2023,OfficeSupply Inc,
SKU-3032,Chair,338,481.4121048576145,08-07-2023,,
SKU-3033,Chair,44,1168.712992548927,24-07-2023,,
SKU-3034,Keyboard,116,840.8439558543554,2023/12/07,GlobalTech,Furniture
SKU-3035,Monitor,209,948.2847365540995,2023/07/14,GlobalTech,Electronics
SKU-3036,Monitor,217,1062.0781547572935,11/04/2023,MegaStore,
SKU-3037,Laptop,452,997.2554624209336,2023-08-29,,Electronics
SKU-3038,Monitor,10839,350.3021774065773,11-10-2023,TechCorp,
SKU-3039,Desk,168,413.5240383891785,12/28/2023,MegaStore,Electronics
SKU-3040,Headphones,478,1798.8856496543974,2023-07-26,OfficeSupply Inc,Furniture
SKU-3041,Laptop,82,1955.1311394796837,2023/12/30,GlobalTech,Electronics
SKU-3042,Chair,215,1014.4620715569557,2023-12-04,MegaStore,
SKU-3043,Mouse,32,1488.8438489102477,2023-12-11,MegaStore,Electronics
SKU-3044,Mouse,57,1909.2131598460433,2023-08-10,MegaStore,Electronics
SKU-3045,Laptop,313,1328.5559193527454,2023-07-18,OfficeSupply Inc,Electronics
SKU-3046,Keyboard,185,360.28974796106513,2023-11-28,,
SKU-3047,Keyboard,4,611.4118845065957,2023/12/15,GlobalTech,
SKU-3048,Mouse,67,1146.2952441326645,18-11-2023,,
SKU-3049,Mouse,373,1780.2757553871886,24-09-2023,TechCorp,
SKU-3050,,310,277.89444069053144,2023-12-06,OfficeSupply Inc,Electronics
SKU-3051,Headphones,366,177.31410075655447,16-12-2023,MegaStore,
SKU-3052,Monitor,271,1821.814474126963,2023-12-03,GlobalTech,Furniture
SKU-3053,Chair,254,298.54017104551104,2023/07/21,OfficeSupply Inc,Furniture
SKU-3054,Laptop,315,238.77027744226004,2023-11-05,,Accessories
SKU-3055,Monitor,166,1859.9991230853595,2023-08-09,,Electronics
SKU-3056,Keyboard,129,366.67969127639265,2023/11/26,,Electronics
SKU-3057,Desk,445,1314.0894861096267,2023-11-07,,
SKU-3058,Keyboard,152,540.6438368639834,25-11-2023,,Electronics
SKU-3059,Chair,291,1915.1112598615962,2023-11-20,MegaStore,Accessories
SKU-3060,Mouse,288,660.3966833293814,2023-08-24,,Furniture
SKU-3061,Mouse,31,717.1499765451331,2023/12/19,OfficeSupply Inc,Accessories
SKU-3062,Chair,184,708.854467961718,2023/08/26,,Electronics
SKU-3063,Mouse,474,1311.1606048033896,07/10/2023,GlobalTech,Electronics
SKU-3064,Keyboard,182,925.6446335461942,2023-11-17,TechCorp,
SKU-3065,Mouse,113,738.6026744250672,2023/11/05,GlobalTech,
SKU-3066,Headphones,354,1496.0774473968024,,GlobalTech,
SKU-3067,Desk,129,1143.6610119290335,13-11-2023,,
SKU-3068,Chair,89,371.74321637315785,2023-10-12,GlobalTech,
SKU-3069,Desk,57,1325.8530786641113,13-09-2023,,
SKU-3070,Laptop,455,251.66960833871127,01-12-2023,OfficeSupply Inc,Electronics
SKU-3071,Laptop,32,1923.1239386622049,2023-12-05,,Accessories
SKU-3072,Mouse,442,439.52640932395616,2023/11/07,,Accessories
SKU-3073,Laptop,249,1138.0639063004871,2023/10/12,OfficeSupply Inc,
SKU-3074,Keyboard,276,1701.9226672889672,2023/08/15,,
SKU-3075,Keyboard,390,438.57015429432545,2023/09/08,MegaStore,Electronics
